site=google.com,rank=1,r_time=0.020101290980167538,r_time_1=na,r_time_eq2=0.0006289308017233155,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=www.google.com,rank=2,r_time=0.6388358242171891,r_time_1=na,r_time_eq2=0.00014607069452311712,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=microsoft.com,rank=3,r_time=0.4398233870236754,r_time_1=na,r_time_eq2=0.00028628685220254536,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=data.microsoft.com,rank=4,r_time=0.41977715882255745,r_time_1=na,r_time_eq2=0.00014158289320540692,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=events.data.microsoft.com,rank=5,r_time=0.43969885622988664,r_time_1=na,r_time_eq2=0.00014916467404033502,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=live.com,rank=6,r_time=0.398218060998853,r_time_1=na,r_time_eq2=0.00015264844676116652,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=windowsupdate.com,rank=7,r_time=0.42106729832969575,r_time_1=na,r_time_eq2=0.00029739781609991077,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=ctldl.windowsupdate.com,rank=8,r_time=0.4457899985470211,r_time_1=na,r_time_eq2=0.0003003905000768969,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=safebrowsing.googleapis.com,rank=9,r_time=0.40342907384495996,r_time_1=na,r_time_eq2=0.00015156107528750825,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=apple.com,rank=10,r_time=0.4087711420625838,r_time_1=na,r_time_eq2=0.00031196380432009995,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=netflix.com,rank=11,r_time=0.35332093225401817,r_time_1=na,r_time_eq2=0.00017047391318763275,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=microsoftonline.com,rank=12,r_time=0.4215812885612719,r_time_1=na,r_time_eq2=0.00015218383422592908,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=doubleclick.net,rank=13,r_time=0.409363243702087,r_time_1=na,r_time_eq2=0.00015840329079034834,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=login.microsoftonline.com,rank=14,r_time=0.39397627017434933,r_time_1=na,r_time_eq2=0.000336700328204337,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=clientservices.googleapis.com,rank=15,r_time=0.42163724889677817,r_time_1=na,r_time_eq2=0.00017012588886496983,case=2,label=np,r_bg=0.6459907030910432,r_np=0.750812647760483
site=www.google.com,rank=2,r_time=0.07450368056782265,r_time_1=na,r_time_eq2=0.00024405124459806572,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=microsoft.com,rank=3,r_time=0.07703235429783911,r_time_1=na,r_time_eq2=0.000282765438921404,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=data.microsoft.com,rank=4,r_time=0.36870361029042426,r_time_1=na,r_time_eq2=0.00032341525607770095,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=events.data.microsoft.com,rank=5,r_time=0.07083083224045901,r_time_1=na,r_time_eq2=0.00044843048149911997,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=live.com,rank=6,r_time=0.07056257384647562,r_time_1=na,r_time_eq2=0.0004288164561314542,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=windowsupdate.com,rank=7,r_time=0.07293390307861501,r_time_1=na,r_time_eq2=0.00042058039072206683,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=ctldl.windowsupdate.com,rank=8,r_time=0.0613450147189451,r_time_1=na,r_time_eq2=0.0001395478618027728,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=safebrowsing.googleapis.com,rank=9,r_time=0.059471637005781564,r_time_1=na,r_time_eq2=0.00014505366576911233,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=netflix.com,rank=11,r_time=0.07951351538736066,r_time_1=na,r_time_eq2=0.00012077295868871873,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=doubleclick.net,rank=13,r_time=0.08987128678279692,r_time_1=na,r_time_eq2=0.00044616298737528836,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
site=login.microsoftonline.com,rank=14,r_time=0.08034254850415316,r_time_1=na,r_time_eq2=0.0003370029118398842,case=2,label=fg,r_bg=0.6459907030910432,r_np=0.750812647760483
