site=google.com,rank=1,r_time=0.004239191908467739,r_time_eq2=0.0000050773768327569016,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=www.google.com,rank=2,r_time=0.004256844193636031,r_time_eq2=6.362094264165952e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=microsoft.com,rank=3,r_time=0.004274028509933069,r_time_eq2=0.000001275817270923034,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=data.microsoft.com,rank=4,r_time=0.004290541392452777,r_time_eq2=0.000001279325768089071,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=events.data.microsoft.com,rank=5,r_time=0.004308010172729562,r_time_eq2=6.419582337292368e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=live.com,rank=6,r_time=0.004330974069250869,r_time_eq2=6.480581194756312e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=windowsupdate.com,rank=7,r_time=0.004353562961669212,r_time_eq2=6.509210108706549e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=ctldl.windowsupdate.com,rank=8,r_time=0.00437668142203424,r_time_eq2=0.0000013054076343287892,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=safebrowsing.googleapis.com,rank=9,r_time=0.0044031609759912415,r_time_eq2=0.000001311271209524492,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=apple.com,rank=10,r_time=0.004425688937243553,r_time_eq2=6.576418539811039e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=netflix.com,rank=11,r_time=0.004450218129723816,r_time_eq2=0,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=microsoftonline.com,rank=12,r_time=0.004472198047410299,r_time_eq2=6.618669456289248e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=doubleclick.net,rank=13,r_time=0.004495339960269812,r_time_eq2=6.643584681328966e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=login.microsoftonline.com,rank=14,r_time=0.004519366071246344,r_time_eq2=6.691216767487442e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=clientservices.googleapis.com,rank=15,r_time=0.004544322445847212,r_time_eq2=0.0000013507466402727838,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=g.doubleclick.net,rank=16,r_time=0.004570245390455432,r_time_eq2=6.938587543680204e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=bing.com,rank=17,r_time=0.004595618855553566,r_time_eq2=0.0000014258322773185262,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=facebook.com,rank=18,r_time=0.004620625760105223,r_time_eq2=7.174190128762878e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=googleusercontent.com,rank=19,r_time=0.004648122594093336,r_time_eq2=7.219405808624853e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=amazonaws.com,rank=20,r_time=0.00467544411700332,r_time_eq2=7.238238868573061e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=officeapps.live.com,rank=21,r_time=0.0047049713773351255,r_time_eq2=7.258424015424492e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=cloud.netflix.com,rank=22,r_time=0.004729474608284393,r_time_eq2=7.277456111754677e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=prod.cloud.netflix.com,rank=23,r_time=0.004760340244600853,r_time_eq2=7.299405744891497e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=office.com,rank=24,r_time=0.00479560428016262,r_time_eq2=0.0000014636793120416164,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=update.googleapis.com,rank=25,r_time=0.0048266678899036375,r_time_eq2=7.33859024654366e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=ftl.netflix.com,rank=26,r_time=0.0048645968521591355,r_time_eq2=0.0000014724975663842956,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=prod.ftl.netflix.com,rank=27,r_time=0.004898115079646778,r_time_eq2=0.0000014768741517227363,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=settings-win.data.microsoft.com,rank=28,r_time=0.004929775928756242,r_time_eq2=7.416083986648986e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=www.googleapis.com,rank=29,r_time=0.004961403609515192,r_time_eq2=7.542163231484446e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=nrdp.prod.cloud.netflix.com,rank=30,r_time=0.004995703949153357,r_time_eq2=0.0000015279603264023143,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=google-analytics.com,rank=31,r_time=0.005030639983500909,r_time_eq2=0,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=play.google.com,rank=32,r_time=0.005070595637302401,r_time_eq2=7.749051233891238e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=icloud.com,rank=33,r_time=0.005103534522005838,r_time_eq2=7.769750805032261e-7,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
site=itunes.apple.com,rank=34,r_time=0.005140930449688461,r_time_eq2=0,case=0,label=fg,r_bg=0.2164875098451698,r_np=1.1571678044064428
