site=google.com,rank=1,r_time=0.3880920614078445,r_time_1=na,r_time_eq2=0.0006851661354999815,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=www.google.com,rank=2,r_time=0.6457399103397874,r_time_1=na,r_time_eq2=0.00018037517581822842,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=microsoft.com,rank=3,r_time=0.4026107866928201,r_time_1=na,r_time_eq2=0.00017385256861980546,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=data.microsoft.com,rank=4,r_time=0.4400938289139911,r_time_1=na,r_time_eq2=0.00017946876789889287,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=events.data.microsoft.com,rank=5,r_time=0.42025822879938907,r_time_1=na,r_time_eq2=0.00016954899537310235,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=live.com,rank=6,r_time=0.4092247301566558,r_time_1=na,r_time_eq2=0.00017143836357630542,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=windowsupdate.com,rank=7,r_time=0.31690979459905155,r_time_1=na,r_time_eq2=0.0003202562551400621,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=ctldl.windowsupdate.com,rank=8,r_time=0.377972283009627,r_time_1=na,r_time_eq2=0.00032674398782564474,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=safebrowsing.googleapis.com,rank=9,r_time=0.4113266097595349,r_time_1=na,r_time_eq2=0.00033852402665990626,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=apple.com,rank=10,r_time=0.42192076461374306,r_time_1=na,r_time_eq2=0.0003178134354797588,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=netflix.com,rank=11,r_time=0.3971352117031788,r_time_1=na,r_time_eq2=0.00016194331574503982,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=microsoftonline.com,rank=12,r_time=0.4757345658462512,r_time_1=na,r_time_eq2=0.000673400656408674,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=doubleclick.net,rank=13,r_time=0.37459459456796745,r_time_1=na,r_time_eq2=0.0002803476239858442,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=login.microsoftonline.com,rank=14,r_time=0.3208243124096258,r_time_1=na,r_time_eq2=0.00014629507347225902,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=clientservices.googleapis.com,rank=15,r_time=0.3917941585081564,r_time_1=na,r_time_eq2=0.00032310176889437656,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=g.doubleclick.net,rank=16,r_time=0.42685817874643434,r_time_1=na,r_time_eq2=0.00013121637249016263,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=bing.com,rank=17,r_time=0.3997648442259169,r_time_1=na,r_time_eq2=0.0001561036488804825,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=facebook.com,rank=18,r_time=0.44949201740035294,r_time_1=na,r_time_eq2=0.0003399625955151846,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=googleusercontent.com,rank=19,r_time=0.43166729303664375,r_time_1=na,r_time_eq2=0.00011921792736742297,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=amazonaws.com,rank=20,r_time=0.3765000000019327,r_time_1=na,r_time_eq2=0.0002914177399722884,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=officeapps.live.com,rank=21,r_time=0.3281055514027685,r_time_1=na,r_time_eq2=0.00014463407213531477,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=cloud.netflix.com,rank=22,r_time=0.4035087719152195,r_time_1=na,r_time_eq2=0.0003055767684537272,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
site=prod.cloud.netflix.com,rank=23,r_time=0.41665632369770633,r_time_1=na,r_time_eq2=0.00030769229992554586,case=2,label=np,r_bg=0.6280964798169427,r_np=0.6771337772504779
